DayOfWeek,TimeOfDayMinutes,StationName,Latitude,Longitude,Occupancy
1,563,Chandni Chowk,28.65785,77.23014,medium
2,285,Karol Bagh,28.644,77.18855,low
6,1116,Chandni Chowk,28.65785,77.23014,low
5,864,Kashmere Gate,28.6675,77.228167,medium
1,191,Rajiv Chowk,28.632818,77.218264,low
2,1034,INA,28.57526,77.20935,high
1,1149,Noida City Centre,28.574,77.355,high
6,1330,INA,28.57526,77.20935,low
4,451,Chhatarpur,28.50671,77.17484,low
5,569,Malviya Nagar,28.52798,77.20565,medium
7,326,New Delhi,28.642194,77.2215,low
3,569,Green Park,28.55979,77.20682,medium
2,689,AIIMS,28.61474,77.21191,medium
1,778,Chandni Chowk,28.65785,77.23014,medium
3,704,Chandni Chowk,28.65785,77.23014,medium
3,88,Noida City Centre,28.574,77.355,low
5,255,Malviya Nagar,28.52798,77.20565,low
1,1130,Jor Bagh,28.58708,77.21209,high
7,1287,Mandi House,28.62588,77.2341,low
7,740,Noida City Centre,28.574,77.355,low
2,142,Dwarka Sector 21,28.548,77.038,low
6,466,Rajiv Chowk,28.632818,77.218264,low
1,476,Mandi House,28.62588,77.2341,low
4,569,Chandni Chowk,28.65785,77.23014,high
6,747,Malviya Nagar,28.52798,77.20565,low
3,727,Hauz Khas,28.54335,77.20667,medium
6,546,INA,28.57526,77.20935,low
5,1300,Kashmere Gate,28.6675,77.228167,low
5,501,Hauz Khas,28.54335,77.20667,low
4,777,Hauz Khas,28.54335,77.20667,medium
6,1409,Lajpat Nagar,28.57079,77.23653,low
2,1402,Chhatarpur,28.50671,77.17484,low
7,114,Rajendra Place,28.6425,77.17815,low
7,65,Karol Bagh,28.644,77.18855,low
4,548,Rajendra Place,28.6425,77.17815,high
2,1161,Kashmere Gate,28.6675,77.228167,medium
2,1342,Rajendra Place,28.6425,77.17815,low
4,1316,Saket,28.518,77.206,low
2,542,Malviya Nagar,28.52798,77.20565,high
2,1149,AIIMS,28.61474,77.21191,high
3,1197,Chhatarpur,28.50671,77.17484,medium
5,817,Green Park,28.55979,77.20682,medium
2,283,Patel Chowk,28.62295,77.21389,low
4,186,Qutab Minar,28.51302,77.18648,low
7,224,Rajiv Chowk,28.632818,77.218264,low
6,327,AIIMS,28.61474,77.21191,low
5,130,Green Park,28.55979,77.20682,low
4,1220,Jor Bagh,28.58708,77.21209,low
5,514,Malviya Nagar,28.52798,77.20565,low
7,23,Chhatarpur,28.50671,77.17484,low
6,1099,Chandni Chowk,28.65785,77.23014,low
7,1312,Lajpat Nagar,28.57079,77.23653,low
1,601,Rajendra Place,28.6425,77.17815,medium
2,929,Green Park,28.55979,77.20682,medium
6,539,New Delhi,28.642194,77.2215,low
7,365,Qutab Minar,28.51302,77.18648,low
1,1280,Qutab Minar,28.51302,77.18648,low
7,1308,Mandi House,28.62588,77.2341,low
5,407,Qutab Minar,28.51302,77.18648,low
3,330,AIIMS,28.61474,77.21191,low
7,1086,Chhatarpur,28.50671,77.17484,low
5,663,New Delhi,28.642194,77.2215,medium
1,229,Saket,28.518,77.206,low
7,629,Patel Chowk,28.62295,77.21389,low
1,493,Karol Bagh,28.644,77.18855,low
1,175,Dwarka Sector 21,28.548,77.038,low
7,141,Saket,28.518,77.206,low
7,257,Chhatarpur,28.50671,77.17484,low
6,973,AIIMS,28.61474,77.21191,low
2,542,Chhatarpur,28.50671,77.17484,medium
7,1242,Qutab Minar,28.51302,77.18648,low
2,1104,Green Park,28.55979,77.20682,medium
6,638,INA,28.57526,77.20935,low
6,1330,Jor Bagh,28.58708,77.21209,low
4,1059,Patel Chowk,28.62295,77.21389,medium
1,507,Malviya Nagar,28.52798,77.20565,low
1,692,Karol Bagh,28.644,77.18855,medium
5,1134,New Delhi,28.642194,77.2215,high
5,451,Karol Bagh,28.644,77.18855,low
1,1292,New Delhi,28.642194,77.2215,low
2,138,Rajiv Chowk,28.632818,77.218264,low
7,676,Rajiv Chowk,28.632818,77.218264,low
5,487,Kashmere Gate,28.6675,77.228167,low
6,994,Lajpat Nagar,28.57079,77.23653,low
