day_of_year,time_minutes,longitude,latitude,occupancy
19,916,77.570411,12.980827,medium
34,1081,77.60243,12.905482,low
269,1188,77.6301,12.957034,low
149,988,77.585973,12.953778,high
284,773,77.575863,12.925863,high
344,1090,77.589398,12.90934,low
249,369,77.59822,12.976329,high
343,1031,77.560397,12.901212,low
81,521,77.582833,12.984641,medium
348,525,77.620771,12.932819,high
257,1069,77.634573,12.903249,high
83,536,77.581373,12.979484,medium
135,671,77.605614,12.962089,low
342,1080,77.606594,12.900807,high
258,966,77.579906,12.987746,high
304,1145,77.637933,12.968639,low
103,636,77.63668,12.957499,high
302,1227,77.635442,12.934506,high
280,787,77.616472,12.953036,low
56,792,77.619948,12.95646,medium
346,841,77.622187,12.929514,high
309,1221,77.555632,12.965036,high
192,1138,77.646125,12.944633,medium
109,1089,77.628174,12.929947,high
71,944,77.554957,12.90412,medium
117,879,77.594292,12.987734,low
213,618,77.554627,12.980099,medium
354,735,77.575998,12.926299,low
345,524,77.6035,12.911742,low
38,773,77.644083,12.938516,high
256,981,77.629387,12.98128,medium
138,1009,77.611314,12.941233,high
223,1060,77.631768,12.965295,medium
252,1107,77.596305,12.986397,medium
92,786,77.609332,12.922877,medium
190,882,77.590202,12.940652,medium
301,928,77.580637,12.954103,high
27,899,77.555412,12.937516,low
63,456,77.596289,12.941303,high
101,1217,77.63856,12.953737,high
151,766,77.587746,12.911104,medium
83,1099,77.59878,12.939662,high
237,917,77.597026,12.914391,high
179,849,77.559984,12.952698,low
212,892,77.555959,12.912764,low
152,1156,77.645686,12.908819,medium
230,470,77.56906,12.981966,low
36,747,77.613347,12.971579,low
240,642,77.629821,12.922108,high
306,946,77.637247,12.901255,low
158,680,77.609686,12.957974,high
26,1206,77.602414,12.961987,medium
352,755,77.623965,12.989886,high
115,1219,77.623832,12.902617,high
151,411,77.582695,12.983657,medium
294,1197,77.61108,12.960341,low
57,1250,77.580768,12.980224,medium
17,677,77.607949,12.905283,low
111,761,77.642694,12.944966,low
261,921,77.598355,12.901014,medium
303,550,77.607598,12.952773,high
86,379,77.563096,12.980259,medium
183,548,77.618222,12.939111,medium
133,450,77.58062,12.927418,low
150,441,77.622581,12.986179,high
264,971,77.627497,12.938474,medium
100,989,77.579339,12.955761,low
328,761,77.64083,12.987577,high
122,941,77.625397,12.913642,high
220,914,77.632687,12.935331,low
325,912,77.569552,12.906303,medium
175,1186,77.557628,12.965797,high
23,1017,77.586279,12.967886,medium
259,1030,77.599243,12.937203,high
32,993,77.593314,12.901863,medium
87,1241,77.624301,12.955382,low
143,391,77.643624,12.926138,low
76,1179,77.59772,12.926058,medium
56,1071,77.647663,12.958199,high
362,375,77.593501,12.933979,high
