2025-04-16T09:59:02.299979+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 0, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 0}
2025-04-16T09:59:17.197979+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 0, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 0}
2025-04-16T09:59:32.192875+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 0, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 0}
2025-04-16T09:59:47.221128+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 0, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 0}
2025-04-16T10:00:02.200625+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 0, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 0}
2025-04-16T10:00:17.245697+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 0, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 0}
2025-04-16T10:00:32.225214+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 0, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 0}
2025-04-16T10:00:47.212288+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 0, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 0}
2025-04-16T10:01:02.236506+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 0, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 0}
2025-04-16T10:01:17.231587+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 0, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 0}
2025-04-16T10:15:02.095858+00:00 - {'deviceId': 'Bus_Sensor_Unit_01', 'latitude': 28.609, 'longitude': 77.03, 'onboardCount1': 0, 'onboardCount2': 0, 'offboardCount': 0, 'totalOccupancy': 0}
